mass,omega,tperi,tconj,tzero_tr,k,temp_calculated,temp_measured,geometric_albedo,log_g,mag_v,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_age,star_teff,label
5.704875040648298,94.8,2452899.6,2452828.898254946,2466683.954520305,302.8,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,4.74,12.637279821244407,12.248203308063367,12.450652821670394,110.6,-0.35,2.7,19.0,4.253231340643785,4742.0,non-habitable
5.704875040648298,117.63,2452861.05,2452828.898254946,2466683.954520305,189.7,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,5.02,12.637279821244407,12.248203308063367,12.450652821670394,119.5,0.04,1.8,24.08,1.56,4340.0,non-habitable
5.704875040648298,168.62289857890806,2452861.4,2452828.898254946,2466683.954520305,100.0,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,5.22,3.02,2.61,2.33,76.4,-0.24,2.2,11.0,4.253231340643785,4813.0,non-habitable
9.653,22.78,2451372.7,2452828.898254946,2466683.954520305,90.0,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,6.67,12.637279821244407,12.248203308063367,12.450652821670394,18.1,0.43,0.9,0.708,5.1,5311.0,non-habitable
6.9,15.2,9100.0,2452828.898254946,2466683.954520305,254.7232211193475,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,6.67,12.637279821244407,12.248203308063367,12.450652821670394,18.1,0.43,0.9,0.708,5.1,5311.0,non-habitable
5.704875040648298,83.4,2450539.3,2452828.898254946,2466683.954520305,50.5,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,6.2,12.637279821244407,12.248203308063367,12.450652821670394,21.41,0.08,1.01,0.98,8.0,5766.0,habitable
5.704875040648298,57.03,2453294.28,2452828.898254946,2466683.954520305,92.4,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,5.24,12.637279821244407,12.248203308063367,12.450652821670394,116.0,-0.01,1.22,25.92,5.13,4157.0,habitable
5.704875040648298,166.1,2451672.0,2452828.898254946,2466683.954520305,119.4,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,5.52,4.03,3.44,3.67,73.1,-0.052,2.3,8.5,4.253231340643785,4979.0,non-habitable
14.0,168.62289857890806,2124186.388593534,2452828.898254946,2466683.954520305,254.7232211193475,1006.8638212094653,1800.0,0.23686666666666667,4.0,10.58940759606792,9.82,9.12,8.92,145.0,-0.00495989217065165,0.73,1.35,0.011,4060.0,non-habitable
32.0,168.62289857890806,2124186.388593534,2452828.898254946,2466683.954520305,254.7232211193475,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,13.6,12.637279821244407,12.248203308063367,12.450652821670394,702.5232985463364,-0.00495989217065165,0.45,1.5470458352403795,0.1,5344.3584151687855,non-habitable
5.704875040648298,168.62289857890806,2124186.388593534,2452828.898254946,2466683.954520305,254.7232211193475,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,12.4,12.637279821244407,12.248203308063367,12.450652821670394,133.0,-0.00495989217065165,0.9,0.99,0.016,4400.0,non-habitable
5.704875040648298,210.0,2450008.6,2452828.898254946,2466683.954520305,59.9,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,5.6,12.637279821244407,12.248203308063367,12.450652821670394,100.0,-0.77,0.99,10.64,6.92,4893.0,non-habitable
5.704875040648298,9.2,2454762.0,2452828.898254946,2466683.954520305,33.2,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,7.38,12.637279821244407,12.248203308063367,12.450652821670394,72.2084,-0.03,1.54,4.9,2.7,5098.0,non-habitable
5.704875040648298,220.5,2454930.0,2452828.898254946,2466683.954520305,23.5,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,7.38,12.637279821244407,12.248203308063367,12.450652821670394,72.2084,-0.03,1.54,4.9,2.7,5098.0,habitable
13.0,168.62289857890806,2124186.388593534,2452828.898254946,2466683.954520305,254.7232211193475,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,10.58940759606792,7.5,12.248203308063367,12.450652821670394,47.2,-0.00495989217065165,0.4,1.5470458352403795,0.03,5344.3584151687855,non-habitable
13.9,168.62289857890806,2124186.388593534,2452828.898254946,2466683.954520305,254.7232211193475,1006.8638212094653,1683.0,0.23686666666666667,4.255022727272728,10.58940759606792,12.637279821244407,12.248203308063367,12.450652821670394,39.4,-0.00495989217065165,0.11,0.27,4.253231340643785,3064.0,non-habitable
7.5,168.62289857890806,2124186.388593534,2452828.898254946,2466683.954520305,254.7232211193475,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,10.58940759606792,14.2,13.72,13.16,140.0,-0.00495989217065165,0.02,1.5470458352403795,0.001,5344.3584151687855,non-habitable
5.704875040648298,168.62289857890806,2124186.388593534,2452828.898254946,2466683.954520305,502.0,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,12.0,12.637279821244407,12.248203308063367,12.450652821670394,197.2,-0.00495989217065165,0.9436990680315677,1.5470458352403795,4.253231340643785,5344.3584151687855,non-habitable
5.704875040648298,168.62289857890806,2124186.388593534,2452828.898254946,2466683.954520305,1070.0,1006.8638212094653,1588.525,0.23686666666666667,4.255022727272728,10.58940759606792,12.637279821244407,12.248203308063367,12.450652821670394,702.5232985463364,-0.00495989217065165,0.9436990680315677,1.5470458352403795,4.253231340643785,5344.3584151687855,non-habitable
